@relation dataset

@attribute urban_degree {0, 1, 2}
@attribute house_rooms real
@attribute housing_tenure {0, 1, 2, 3}
@attribute family_members real
@attribute equivalent_income real
@attribute invoices_overdue {0, 1}
@attribute afford_holidays {0, 1}
@attribute afford_meal {0, 1}
@attribute afford_unexpected {0, 1}
@attribute have_phone {0, 1}
@attribute have_tv {0, 1}
@attribute have_computer {0, 1}
@attribute have_washer {0, 1}
@attribute have_car {0, 1}
@attribute have_shower {0, 1}
@attribute have_wc {0, 1}
@attribute problem_light {0, 1}
@attribute problem_noise {0, 1}
@attribute problem_pollution {0, 1}
@attribute problem_vandal {0, 1}
@attribute problem_leaks {0, 1}
@attribute afford_heating {0, 1}


@data
0,5.0,0,4.0,39567.1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
0,5.0,0,2.0,26540.47,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
0,4.0,0,2.0,20506.6,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
0,6.0,2,1.0,12402.4,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1
0,5.0,1,1.0,11767.3,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0
2,5.0,1,3.0,19918.45,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1
2,6.0,0,5.0,18897.15,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1
2,6.0,1,3.0,13559.55,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1
2,5.0,3,2.0,9094.12,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1
2,6.0,1,4.0,12020.07,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1
2,4.0,1,1.0,8868.0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1
2,5.0,3,2.0,16937.0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
2,4.0,1,2.0,15312.27,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
2,4.0,1,1.0,8867.3,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1
0,3.0,3,2.0,18005.2,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1
0,3.0,1,2.0,8979.67,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1
0,6.0,1,1.0,6814.1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1
0,4.0,3,5.0,6969.25,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1
0,3.0,1,3.0,25665.56,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
0,6.0,1,2.0,10630.67,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1
0,6.0,1,3.0,11179.85,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
0,4.0,1,1.0,22429.1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1
0,2.0,1,2.0,6640.67,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1
0,4.0,1,2.0,20591.87,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1
0,4.0,0,4.0,29096.57,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,3.0,0,1.0,11913.4,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
0,4.0,0,3.0,13191.39,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
