@relation dataset

@attribute games real
@attribute starts real
@attribute min real
@attribute fgm real
@attribute fgp real
@attribute 3pm real
@attribute 3pp real
@attribute ftm real
@attribute ftp real
@attribute off real
@attribute def real
@attribute ast real
@attribute stl real
@attribute to real
@attribute blk real
@attribute pf real
@attribute dq real
@attribute tf real


@data
?,82.0,?,4.55,?,0.8,0.32,1.39,?,1.6,?,3.95,0.73,2.16,0.67,2.67,0.04,0.01
?,2.0,7.33,0.33,?,0.17,0.17,0.0,0.0,0.17,0.5,?,?,?,0.0,1.33,0.0,0.0
9.0,0.0,5.56,0.22,0.2,0.11,?,0.11,0.25,?,0.33,?,0.44,0.0,?,0.22,0.0,0.0
?,0.0,9.67,0.56,?,0.0,?,0.07,0.22,0.89,1.52,0.19,?,?,0.52,?,0.04,0.0
?,8.0,18.36,2.43,0.4,1.11,?,0.89,?,0.15,0.87,2.55,?,1.11,0.0,?,0.0,?
?,0.0,7.27,?,0.45,0.0,?,0.33,0.42,?,1.8,0.13,0.2,?,0.13,1.4,0.0,?
56.0,12.0,19.43,3.2,0.46,?,?,?,0.81,?,1.21,2.0,?,0.98,0.05,?,?,0.0
?,38.0,?,3.81,0.45,0.21,0.26,?,0.85,0.67,2.28,1.39,0.82,1.45,0.28,?,0.0,0.01
80.0,2.0,18.03,2.78,?,?,0.39,?,0.74,0.48,1.66,3.01,?,1.58,0.1,1.64,?,0.0
82.0,?,?,2.74,0.46,1.46,0.46,1.27,?,1.21,?,?,?,0.83,?,?,?,0.0
67.0,?,30.96,2.51,0.37,?,0.35,1.01,0.72,0.42,2.24,5.64,?,1.64,0.04,1.24,0.0,0.0
?,78.0,?,?,0.52,?,0.18,?,0.72,2.83,7.26,3.15,0.58,1.79,?,1.95,0.01,0.05
67.0,15.0,22.09,3.42,0.41,1.12,?,1.99,0.84,?,3.15,1.54,0.57,1.07,?,1.57,0.0,0.0
?,82.0,39.52,9.68,?,1.56,?,9.22,0.9,1.28,6.32,2.82,1.37,3.3,?,2.09,0.01,0.04
?,1.0,?,?,0.42,0.84,?,?,0.87,0.43,1.66,0.97,0.26,0.96,0.07,0.95,0.01,0.0
?,?,?,9.86,0.45,1.2,0.34,?,?,0.73,?,5.3,2.23,?,0.39,2.95,0.03,0.08
12.0,?,5.33,0.42,0.33,?,?,?,?,?,0.67,0.17,?,0.08,0.0,0.58,0.0,?
79.0,5.0,?,2.22,0.45,0.72,?,0.58,0.75,0.75,1.2,0.61,0.43,0.25,0.22,1.58,0.0,0.03
?,1.0,11.04,?,?,?,0.0,0.96,0.45,?,2.68,0.29,?,?,0.14,1.57,?,0.07
?,?,?,7.4,?,0.5,?,4.83,0.75,0.92,?,?,?,3.0,?,2.83,?,?
82.0,0.0,17.96,2.73,?,1.05,?,0.7,0.67,?,1.43,1.55,0.63,0.88,0.13,1.33,0.0,0.01
80.0,80.0,33.05,4.85,0.46,0.75,0.38,1.65,0.76,?,2.95,5.58,?,2.1,?,2.15,0.01,?
62.0,2.0,23.32,2.58,0.38,1.58,0.37,?,0.87,0.56,2.08,?,1.0,1.16,0.18,1.4,?,0.03
49.0,5.0,?,?,0.55,0.0,?,0.49,0.42,?,?,?,?,0.49,0.39,1.59,0.02,0.0
46.0,7.0,15.37,?,?,0.7,0.39,0.17,0.53,?,1.41,?,0.22,0.46,?,0.72,0.0,0.0
82.0,82.0,27.15,2.59,?,0.95,0.35,?,0.86,0.3,1.77,?,1.09,?,0.11,2.46,?,0.06
?,81.0,28.89,4.9,0.42,0.95,0.36,2.75,0.83,0.3,?,4.4,1.01,2.86,0.02,1.21,?,0.01
47.0,32.0,25.28,3.96,0.44,0.17,0.16,2.21,?,?,2.3,3.83,?,1.91,?,2.17,?,?
